C1,C2,text,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,sentiment,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30
87,,"«Прометей»
уже здесь!
Бежим на Кинопоиск и смотрим первые четыре серии
✈️",https://t.me/kinopoisk/42607?embed=1&mode=tme,https://t.me/,https://t.me/s/kinopoisk,61600,0,1733349463,1733431309,0,null,"[{""ner"":""Кинопоиск"",""lemma"":""кинопоиск"",""label"":""LOC"",""start_pos"":31,""end_pos"":40}]",NEUTRAL,rus,,12,0,0,1,0,0,1,2,0,1,2,2,4,true
87,,"Джуд Лоу в «Безмолвном братстве», Рэйф Файнс в «Возвращении Одиссея», Ренате Реинсве в «Армане».
Изучаем
главные новинки недели в российском прокате и выбираем, на что пойдем в кино
🍿
Выбрать сеанс и купить билеты можно на Кинопоиске, кликнув по ссылке в карточке фильма.
🔥
«Кинопоиск»",https://t.me/kinopoisk/42608?embed=1&mode=tme,https://t.me/,https://t.me/s/kinopoisk,49300,0,1733389046,1733431309,0,null,"[{""ner"":""Джуд Лоу"",""lemma"":""джуд лоу"",""label"":""PER"",""start_pos"":0,""end_pos"":8},{""ner"":""Безмолвном братстве"",""lemma"":""безмолвный братство"",""label"":""ORG"",""start_pos"":12,""end_pos"":31},{""ner"":""Рэйф Файнс"",""lemma"":""рэйф файнс"",""label"":""PER"",""start_pos"":34,""end_pos"":44},{""ner"":""Возвращении Одиссея"",""lemma"":""возвращение одиссей"",""label"":""ORG"",""start_pos"":48,""end_pos"":67},{""ner"":""Ренате Реинсве"",""lemma"":""ренат реинсве"",""label"":""PER"",""start_pos"":70,""end_pos"":84},{""ner"":""Кинопоиске"",""lemma"":""кинопоиске"",""label"":""LOC"",""start_pos"":223,""end_pos"":233},{""ner"":""Кинопоиск"",""lemma"":""кинопоиск"",""label"":""ORG"",""start_pos"":275,""end_pos"":284}]",NEUTRAL,rus,,45,0,0,1,0,0,3,6,1,1,12,1,15,true
87,,"Фан-факт: мультсериал «Маша и Медведь» внесен в Книгу рекордов Гиннесса!
🐻
👧
За что именно, рассказываем в свежем #КП_Видео.
И напоминаем, что новая часть франшизы, фильм «Маша и Медведь в кино: Парк чудес», уже в прокате.
Билеты на Кинопоиске
🔥
«Кинопоиск»",https://t.me/kinopoisk/42609?embed=1&mode=tme,https://t.me/,https://t.me/s/kinopoisk,46100,0,1733394645,1733431309,0,null,"[{""ner"":""Кинопоиск"",""lemma"":""кинопоиск"",""label"":""ORG"",""start_pos"":233,""end_pos"":242}]",NEUTRAL,rus,,41,0,1,1,0,0,2,3,1,0,15,1,18,true
87,,"Что бы ни творилось за кулисами очередных «Звездных войн», франшиза все еще живет. И на днях стартовал новый сериал во вселенной Джорджа Лукаса — «Опорная команда» с Джудом Лоу в одной из главных ролей.
Рассказываем
, какими получились первые два эпизода шоу, чем оно напоминает приключенческое семейное кино 80-х, и что о нем пишут критики.
🎮
«Кинопоиск | Игры»",https://t.me/kinopoisk/42610?embed=1&mode=tme,https://t.me/,https://t.me/s/kinopoisk,39400,0,1733403080,1733431309,0,null,"[{""ner"":""Джорджа Лукаса"",""lemma"":""джордж лукас"",""label"":""PER"",""start_pos"":129,""end_pos"":143},{""ner"":""Джудом Лоу"",""lemma"":""джудом лоу"",""label"":""PER"",""start_pos"":166,""end_pos"":176},{""ner"":""Кинопоиск | Игры"",""lemma"":""кинопоиск | игра"",""label"":""ORG"",""start_pos"":345,""end_pos"":361},{""ner"":""80"",""lemma"":""80"",""label"":""NUM"",""start_pos"":309,""end_pos"":311}]",NEUTRAL,rus,,59,0,1,1,0,0,9,7,4,2,13,1,15,true
87,,"«Улыбка 2», «Эмилия Перес», «Дюна: Пророчество» и многое другое
🎞
В рубрике #КП_Дождались наша редакция говорит о понравившихся (и не очень) новинках ноября.
Делитесь своим мнением о фильмах/сериалах прошлого месяца в комментариях!
P.S. Мы знаем, что «Течение» вышло раньше ноября. Рассказывать про другой тайтл в качестве своего дебюта в рубрике Луи наотрез отказался, аргументировав это тем, что... впрочем, читайте на карточке!
🔥
«Кинопоиск»",https://t.me/kinopoisk/42619?embed=1&mode=tme,https://t.me/,https://t.me/s/kinopoisk,36800,0,1733408680,1733431309,0,null,"[{""ner"":""Эмилия Перес"",""lemma"":""эмилия перес"",""label"":""PER"",""start_pos"":13,""end_pos"":25},{""ner"":""Луи"",""lemma"":""луи"",""label"":""PER"",""start_pos"":347,""end_pos"":350},{""ner"":""Кинопоиск"",""lemma"":""кинопоиск"",""label"":""ORG"",""start_pos"":434,""end_pos"":443},{""ner"":""2"",""lemma"":""2"",""label"":""NUM"",""start_pos"":8,""end_pos"":9}]",NEUTRAL,rus,,63,0,2,0.9895833,0.010416667,0,4,9,3,1,21,4,26,true
87,,"Sony опубликовала начало «Крэйвен-охотник» — действие происходит в российской тюрьме.
За 8 минут можно оценить русскую речь Аарона Тейлор-Джонсона и увидеть персонажа Юрия Колокольникова.
«Крэйвен-охотник» выходит в зарубежный прокат 12 декабря.
🍿
Фильмы на вечер",https://t.me/kinosom/7438?embed=1&mode=tme,https://t.me/,https://t.me/s/kinosom,24300,0,1733328026,1733431309,0,null,"[{""ner"":""Sony"",""lemma"":""Sony"",""label"":""ORG"",""start_pos"":0,""end_pos"":4},{""ner"":""За 8"",""lemma"":""за 8"",""label"":""ORG"",""start_pos"":86,""end_pos"":90},{""ner"":""Аарона Тейлор-Джонсона"",""lemma"":""Аарона Тейлор-Джонсона"",""label"":""PER"",""start_pos"":124,""end_pos"":146},{""ner"":""Юрия Колокольникова"",""lemma"":""Юрия Колокольникова"",""label"":""LOC"",""start_pos"":167,""end_pos"":186},{""ner"":""12"",""lemma"":""12"",""label"":""CARDINAL"",""start_pos"":234,""end_pos"":236},{""ner"":""8"",""lemma"":""8"",""label"":""NUM"",""start_pos"":89,""end_pos"":90}]",NEUTRAL,rus,,35,0,0,0.9807692,0.01923077,0,4,5,0,1,16,1,8,true
87,,"Завершились съемки второго сезона «Уэнсдей».
Дженна Ортега вернулась к своей роли, а новым директором академии «Невермор» стал Стив Бушеми. Кроме того, в сериале появится Леди Гага.
Премьера на Netflix состоится в 2025 году.
🍿
Фильмы на вечер",https://t.me/kinosom/7439?embed=1&mode=tme,https://t.me/,https://t.me/s/kinosom,23800,0,1733335986,1733431309,0,null,"[{""ner"":""Дженна Ортега"",""lemma"":""дженна ортега"",""label"":""PER"",""start_pos"":45,""end_pos"":58},{""ner"":""Невермор"",""lemma"":""невермор"",""label"":""ORG"",""start_pos"":112,""end_pos"":120},{""ner"":""Стив Бушеми"",""lemma"":""стив бушеми"",""label"":""PER"",""start_pos"":127,""end_pos"":138},{""ner"":""Леди Гага"",""lemma"":""леди гага"",""label"":""PER"",""start_pos"":171,""end_pos"":180},{""ner"":""Netflix"",""lemma"":""netflix"",""label"":""ORG"",""start_pos"":194,""end_pos"":201},{""ner"":""2025"",""lemma"":""2025"",""label"":""NUM"",""start_pos"":214,""end_pos"":218}]",NEUTRAL,rus,,37,0,0,0.98039216,0.019607844,0,3,5,1,0,11,0,10,true
87,,"Оказалось, что Руперт Гринт, игравший Рона Уизли, 15 лет вёл подставную фирму, чтобы скрывать от налоговой свои доходы с «Гарри Поттера».
Схему раскрыли, и теперь он должен государству более $2 млн. Азкабан уже ждёт нового сидельца.
🍿
Фильмы на вечер",https://t.me/kinosom/7440?embed=1&mode=tme,https://t.me/,https://t.me/s/kinosom,17000,0,1733387108,1733431309,0,null,"[{""ner"":""Руперт Гринт"",""lemma"":""руперт гринт"",""label"":""PER"",""start_pos"":15,""end_pos"":27},{""ner"":""Рона Уизли"",""lemma"":""рон уизли"",""label"":""PER"",""start_pos"":38,""end_pos"":48},{""ner"":""Азкабан"",""lemma"":""азкабан"",""label"":""PER"",""start_pos"":199,""end_pos"":206},{""ner"":""15"",""lemma"":""15"",""label"":""NUM"",""start_pos"":50,""end_pos"":52},{""ner"":""2"",""lemma"":""2"",""label"":""NUM"",""start_pos"":192,""end_pos"":193},{""ner"":""$2 "",""lemma"":""$2 "",""label"":""DATE"",""start_pos"":191,""end_pos"":194}]",NEUTRAL,rus,,40,0,0,1,0,0,4,5,1,3,10,3,10,true
87,,"Мультсериал «Монстры-коммандос» получил отличные оценки от критиков.
У первого проекта в обновленной киновселенной DC аж 93% на Rotten Tomatoes на основе 15 рецензий.
Первые посмотревшие оценили фирменный стиль Джеймса Ганна с черным юмором, насилием и запоминающимся саундтреком. Очарованы они оказались и командой антигероев. Но при этом многие отмечают, что режиссер повторяет свои фирменные приемы, пусть и в новых декорациях.
«Монстры-коммандос» стартуют 5 декабря на Max.
🍿
Фильмы на вечер",https://t.me/kinosom/7441?embed=1&mode=tme,https://t.me/,https://t.me/s/kinosom,16200,0,1733396590,1733431309,0,null,"[{""ner"":""DC"",""lemma"":""dc"",""label"":""ORG"",""start_pos"":115,""end_pos"":117},{""ner"":""Rotten Tomatoes"",""lemma"":""rotten tomatoes"",""label"":""ORG"",""start_pos"":128,""end_pos"":143},{""ner"":""Джеймса Ганна"",""lemma"":""джеймс ганна"",""label"":""PER"",""start_pos"":211,""end_pos"":224},{""ner"":""93"",""lemma"":""93"",""label"":""NUM"",""start_pos"":121,""end_pos"":123},{""ner"":""15"",""lemma"":""15"",""label"":""NUM"",""start_pos"":154,""end_pos"":156},{""ner"":""5"",""lemma"":""5"",""label"":""NUM"",""start_pos"":460,""end_pos"":461}]",NEUTRAL,rus,,69,0,2,0.95652175,0.04347826,0,9,9,2,2,24,0,13,true
87,,"Джерри Магуайер (Jerry Maguire). Несмотря на Оскар и Золотой глобус, которые получили за роли Куба Гуддинг и Том Круз, кино мне не слишком понравилось. Это фильм про спортивного агента и игрока в американский футбол, а кроме этого про деньги, семейные ценности и все такое. В общем, сопливая мелодрама, если говорить прямо. В меня не попало совершенно, к сожалению.",https://t.me/six_seasons_and_a_movie_channel/1023?embed=1&mode=tme,https://t.me/,https://t.me/s/six_seasons_and_a_movie_channel,138,0,1729500267,1733431309,0,null,"[{""ner"":""Джерри Магуайер (Jerry Maguire)"",""lemma"":""джерри магуайер (jerry maguire)"",""label"":""PER"",""start_pos"":0,""end_pos"":31},{""ner"":""Оскар"",""lemma"":""оскар"",""label"":""PER"",""start_pos"":45,""end_pos"":50},{""ner"":""Куба Гуддинг"",""lemma"":""куб гуддинг"",""label"":""PER"",""start_pos"":94,""end_pos"":106},{""ner"":""Том Круз"",""lemma"":""том круз"",""label"":""PER"",""start_pos"":109,""end_pos"":117}]",NEGATIVE,rus,,58,0,2,0.9722222,0.027777778,0,5,5,6,0,11,4,14,true
87,,"Обливион (Oblivion) с Томом Крузом и Ольгой Куриленко. Земля по большей части превратилась в выжженную пустыню после войны с инопланетянами. Мы победили, но большинство населения теперь живет на Титане, спутнике Сатурна, а на орбите Земли летает спутник, с которого за Землей наблюдают два «вахтовика», периодически спускаясь на поверхность планеты, чтобы чего-то там посмотреть. И, конечно же, однажды случается что-то такое, что дает толчок к кардинальным переменам. Весьма добротная фантастика, которую, пожалуй, даже и критиковать-то не за что. Кино старое по нынешним меркам, но если кто не смотрел, то однозначно могу порекомендовать.",https://t.me/six_seasons_and_a_movie_channel/1024?embed=1&mode=tme,https://t.me/,https://t.me/s/six_seasons_and_a_movie_channel,157,0,1729501836,1733431309,0,null,"[{""ner"":""Томом Крузом"",""lemma"":""том круз"",""label"":""PER"",""start_pos"":22,""end_pos"":34},{""ner"":""Ольгой Куриленко"",""lemma"":""ольга куриленко"",""label"":""PER"",""start_pos"":37,""end_pos"":53},{""ner"":""Титане"",""lemma"":""титан"",""label"":""LOC"",""start_pos"":195,""end_pos"":201},{""ner"":""Сатурна"",""lemma"":""сатурн"",""label"":""LOC"",""start_pos"":212,""end_pos"":219},{""ner"":""Земли"",""lemma"":""земля"",""label"":""LOC"",""start_pos"":233,""end_pos"":238},{""ner"":""Землей"",""lemma"":""земля"",""label"":""PER"",""start_pos"":269,""end_pos"":275}]",NEUTRAL,rus,,91,0,1,0.9917355,0.008264462,0,6,13,14,1,19,8,24,true
87,,"Дикий робот (Wild Robot). Перед нами еще один мультфильм, который будет рассказывать, как всем стать лучше и добрее. На этот раз на примере робота, который был не способен чувствовать и отклоняться от своей программы, но при попадании в необычную среду обитания, меняется и становится лучше. Понятное дело, что в мультфильме все это передается через взаимодействие робота и животных, но выглядит все достаточно интересно и нескучно. Каких-то особо смешных моментов и хохм в мультике нет, просто хороший и добрый мультфильм.",https://t.me/six_seasons_and_a_movie_channel/1025?embed=1&mode=tme,https://t.me/,https://t.me/s/six_seasons_and_a_movie_channel,167,0,1729684758,1733431309,0,null,null,POSITIVE,rus,,79,0,0,0.9791667,0.020833334,0,11,9,5,1,18,5,15,true
87,,"Васаби (Wasabi). Старенький фильм с Жаном Рено про Японию, былую любовь, внезапных детей и 200 миллионов евро. Весь фильм снят по канонам французского кино: немного юмора, немного беспорядочной стрельбы, немного умиления и немного грусти. Ну и хэппи энд, конечно же. Долго расписывать смысла не имеет, тем более, что наверняка почти все его уже видели.",https://t.me/six_seasons_and_a_movie_channel/1026?embed=1&mode=tme,https://t.me/,https://t.me/s/six_seasons_and_a_movie_channel,167,0,1729786105,1733431309,0,null,"[{""ner"":""Жаном Рено"",""lemma"":""жан рено"",""label"":""PER"",""start_pos"":36,""end_pos"":46},{""ner"":""Японию"",""lemma"":""япония"",""label"":""LOC"",""start_pos"":51,""end_pos"":57},{""ner"":""200"",""lemma"":""200"",""label"":""NUM"",""start_pos"":91,""end_pos"":94}]",NEUTRAL,rus,,54,0,0,0.98550725,0.014492754,0,5,4,3,1,15,10,15,true
87,,"Платформа 2 (Platform 2). К сожалению, уже плоховато помню, какие именно идеи пытались выразить авторы в первом фильме, а, видимо, это все же нужно для понимания общего замысла, потому что вторая часть – это приквел. В отрыве от этого, мы просто наблюдаем за еще одной попыткой создать некое уравновешенное и справедливое общество, которое хочет справедливости для всех, но ее снова на всех не хватает. А значит опять все сведется к насилию и кровопролитию. Во всем этом полностью ясно только одно: авторы не просто показывают какую-то изолированную историю, а хотят, чтобы зритель сам проанализировал показанное и, возможно, сделал для себя какие-то выводы. В любом случае, фильм явно не для пятничного просмотра в полглаза под пиво и чипсы.",https://t.me/six_seasons_and_a_movie_channel/1027?embed=1&mode=tme,https://t.me/,https://t.me/s/six_seasons_and_a_movie_channel,209,0,1729853168,1733431309,0,null,"[{""ner"":""2"",""lemma"":""2"",""label"":""NUM"",""start_pos"":10,""end_pos"":11},{""ner"":""2"",""lemma"":""2"",""label"":""NUM"",""start_pos"":22,""end_pos"":23}]",NEUTRAL,rus,,116,0,4,0.993007,0.006993007,0,11,13,10,3,25,10,24,true
87,,"Последний богатырь. Наследие
ахеренно.. сюжет качают уникально просто.
Лулзов и приколов полно
6/8 серий пока",https://t.me/six_seasons_and_a_movie_channel/1028?embed=1&mode=tme,https://t.me/,https://t.me/s/six_seasons_and_a_movie_channel,204,0,1729967393,1733431309,0,null,"[{""ner"":""6"",""lemma"":""6"",""label"":""NUM"",""start_pos"":95,""end_pos"":96},{""ner"":""8"",""lemma"":""8"",""label"":""NUM"",""start_pos"":97,""end_pos"":98}]",POSITIVE,rus,,15,0,0,1,0,0,1,1,0,1,5,4,3,true
